transaction_id,guest_name,room_no,folio_no,transaction_date,amount_rm,card_last4,payment_method,allocation_status
TXN001199,Guest 0784,498,32386,2025-03-14,727.43,7421,Visa,Pending
TXN000527,Guest 0375,114,30144,2025-03-25,1273.31,1389,Visa,Matched
TXN000394,Guest 0177,148,35550,2025-02-23,814.75,9635,Visa,Matched
TXN001408,Guest 0511,668,36843,2025-03-20,804.24,4383,Mastercard,Matched
TXN000434,Guest 0252,180,33548,2025-01-12,826.32,8010,Visa,Matched
TXN001721,Guest 0512,786,30159,2025-01-08,645.94,2365,American Express,Matched
TXN001091,Guest 0275,721,36532,2025-02-15,458.22,7810,Visa,Unmatched
TXN000430,Guest 0217,745,31464,2025-03-06,344.12,8383,Mastercard,Pending
TXN001800,Guest 0044,394,31923,2025-02-16,565.04,5953,Visa,Matched
TXN000531,Guest 0733,122,30638,2025-02-23,206.7,0659,Mastercard,Matched
TXN001728,Guest 0422,173,33437,2025-02-21,122.43,7497,American Express,Matched
TXN001454,Guest 0279,649,39618,2025-01-23,480.92,5479,Mastercard,Matched
TXN001294,Guest 0232,610,33500,2025-01-01,342.72,1231,Mastercard,Matched
TXN001619,Guest 0349,732,32556,2025-01-11,572.7,3322,American Express,Matched
TXN001023,Guest 0310,578,36026,2025-03-20,649.37,1092,Visa,Matched
TXN000679,Guest 0464,557,39026,2025-02-17,588.89,4188,Visa,Pending
TXN001129,Guest 0404,574,32933,2025-02-20,659.96,7229,Visa,Matched
TXN000125,Guest 0597,652,31387,2025-03-18,615.84,2015,Visa,Pending
TXN001474,Guest 0709,227,32550,2025-01-19,308.92,7192,Visa,Unmatched
TXN000463,Guest 0380,512,32379,2025-03-09,189.6,7569,Mastercard,Matched
TXN001857,Guest 0288,432,30990,2025-02-03,368.31,0028,Mastercard,Matched
TXN001970,Guest 0495,147,33720,2025-01-14,312.35,6259,Visa,Matched
TXN001002,Guest 0538,124,34140,2025-03-08,423.2,2402,American Express,Matched
TXN001207,Guest 0800,594,39867,2025-02-16,1102.76,2910,Visa,Matched
TXN001705,Guest 0756,318,39378,2025-03-24,306.22,8394,Visa,Matched
